tennet_id;congestiegebied_afname;congestiegebied_opwek;afname;opwek
Station Zevenaar 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Zevenbergschenhoek 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Zeyerveen 110 kV;Drenthe;Drenthe;1;3
Station Zoetermeer 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Zorgvlied 150;Noord-Holland;Noord-Holland;3;0
Station Zuidbroek 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Zuiderveld 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Zuilichem 150 kV;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Zutphen 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Zwartsluis 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Zwolle Frankhuis 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Zwolle Hessenweg 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Zwolle Weteringkade 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Bleiswijk 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Zevenhuizen 150 kV;Noordelijk Zuid-Holland;Noordelijk Zuid-Holland;3;0
Station Breukelen Kortrijk 150 kV;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station 's Graveland 150;Noord-Holland;Noord-Holland;3;0
